% Model:              first_sketch_v06__sigmasweep_adaptivemesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jul 23 2021, 18:52
% Dimension:          2
% Nodes:              325
% Expressions:        12
% Description:        Entity index, r-coordinate, z-coordinate
% Length unit:        mm
% r                       z                        dom @ t=67               r (mm) @ t=67            z (mm) @ t=67            dom @ t=77               r (mm) @ t=77            z (mm) @ t=77            dom @ t=87               r (mm) @ t=87            z (mm) @ t=87            dom @ t=97               r (mm) @ t=97            z (mm) @ t=97
0.27341837952341475       0.5270453961428815       4                        0.27341837952341475      0.5270453961428815       4                        0.275756193485759        0.5574239712745263       4                        0.27823553579871996      0.5837897879431766       4                        0.28076905478029446      0.6068486815809719
0.28149121555427586       0.5248195422013746       4                        0.28149121555427586      0.5248195422013746       4                        0.28382976149846295      0.554827632784029        4                        0.2863203319295559       0.5808561748314214       4                        0.28887329630223446      0.6036068023685198
0.2895417299878282        0.5225146312477179       4                        0.2895417299878282       0.5225146312477179       4                        0.29187428417459693      0.5521425743320191       4                        0.29436987822568234      0.5778251633186821       4                        0.29693657196975165      0.6002595670548704
0.29756879245092704       0.5201295546612087       4                        0.29756879245092704      0.5201295546612087       4                        0.2998883756530011       0.5493678487294033       4                        0.3023825458788412       0.5746959675749965       4                        0.30495701295489874      0.5968063444049903
0.3055711541978727        0.5176631954810461       4                        0.3055711541978727       0.5176631954810461       4                        0.30787052852746866      0.5465025143405025       4                        0.31035658152795803      0.5714678208131392       4                        0.3129326225437578       0.5932465359083933
0.3135474975654728        0.5151144160214862       4                        0.3135474975654728       0.5151144160214862       4                        0.3158191636199199       0.5435456209803179       4                        0.31829015748281503      0.5681399596207046       4                        0.32086132696861547      0.5895795587190635
0.3214964912299953        0.5124820402028465       4                        0.3214964912299953       0.5124820402028465       4                        0.3237326852873907       0.5404961898179954       4                        0.3261814272457765       0.5647116016534548       4                        0.3287410313388363       0.5858048213566373
0.32941678691773174       0.5097648522806844       4                        0.32941678691773174      0.5097648522806844       4                        0.33160947821950976      0.5373532124227146       4                        0.3340285224833511       0.5611819449651269       4                        0.3365696169261452       0.581921723314048
0.33730694032256375       0.5069616229051499       4                        0.33730694032256375      0.5069616229051499       4                        0.3394478290091459       0.5341156813739089       4                        0.3418294751965865       0.5575502027384206       4                        0.34434486396505504      0.5779296935614124
0.345165368110106         0.504071127366903        4                        0.345165368110106        0.504071127366903        4                        0.3472458840533725       0.5307826115936203       4                        0.34958217649630574      0.5538156273923976       4                        0.3520644113623189       0.5738282171816443
0.3529904624678222        0.5010921062292306       4                        0.3529904624678222       0.5010921062292306       4                        0.3550017638616028       0.5273529951980243       4                        0.3572844909464511       0.5499774601559966       4                        0.3597258713896372       0.5696167800947819
0.36078059867518086       0.4980232598657134       4                        0.36078059867518086      0.4980232598657134       4                        0.36271357076035154      0.5238257957236188       4                        0.36493426451429084      0.5460349249810204       4                        0.3673268380573285       0.565294862647766
0.36853409738970994       0.49486326076869247      4                        0.36853409738970994      0.49486326076869247      4                        0.3703793518019053       0.5201999627968114       4                        0.3725292881168843       0.5419872453128194       4                        0.37486485140288367      0.5608619582505494
0.37624908392428624       0.49161081276592244      4                        0.37624908392428624      0.49161081276592244      4                        0.3779969603229514       0.5164745003508415       4                        0.3800671612134642       0.537833720400917        4                        0.3823372630128694       0.5563176570024537
0.383923615061731         0.48826460369458213      4                        0.383923615061731        0.48826460369458213      4                        0.3855641823155065       0.5126484123972481       4                        0.387545418040164        0.5335736647482133       4                        0.3897413624654815       0.5516615792756284
0.39155573034595065       0.48482328182443885      4                        0.39155573034595065      0.48482328182443885      4                        0.39307878751956515      0.5087206764357762       4                        0.3949615786941372       0.5292063787287367       4                        0.39707442865199905      0.5468933436796467
0.39914344048074446       0.48128545707435355      4                        0.39914344048074446      0.48128545707435355      4                        0.40053851829879417      0.504690245374902        4                        0.4023131385417554       0.5247311510751486       4                        0.40433371985381616      0.5420125699445815
0.40668457115595313       0.47764977356506544      4                        0.40668457115595313      0.47764977356506544      4                        0.40794093680863197      0.5005561304769575       4                        0.40959741837160474      0.5201473511177712       4                        0.41151632668094057      0.5370189794892475
0.41417678134670904       0.4739149086795024       4                        0.41417678134670904      0.4739149086795024       4                        0.415283444505375        0.4963174000193421       4                        0.41681158514647837      0.515454426959465        4                        0.41861919417287125      0.5319123929783036
0.42161770809773486       0.47007950451719027      4                        0.42161770809773486      0.47007950451719027      4                        0.42256342525808754      0.49197310141093165      4                        0.4239527938583169       0.5106518190446951       4                        0.4256392627957012       0.5266926359186684
0.4290049672138634        0.4661421624186854       4                        0.4290049672138634       0.4661421624186854       4                        0.4297782464367847       0.48752225543269345      4                        0.43101818907044565      0.5057389540365138       4                        0.4325734705455282       0.5213595320177441
0.4363360547936237        0.4621014921118616       4                        0.4363360547936237       0.4621014921118616       4                        0.4369251633928236       0.4829639120972681       4                        0.43800481206923314      0.5007153065898448       4                        0.43941866259483364      0.5159129701347164
0.4436081878427336        0.45795620648670776      4                        0.4436081878427336       0.45795620648670776      4                        0.44400116582719573      0.4782972570909668       4                        0.44490945240311547      0.49558051609915355      4                        0.4461714475754902       0.5103530301486101
